,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,address,chainCode,city,latitude,longitude,anchor_latitude,anchor_longitude,hasServiceFee,serviceFeeAmount(%),updateDate,tags
103,龍爺鳳娘粥品,njfg,3,"['粥', '台式']",False,19.0,79.0,40.0,15.0,3.387,25,(△)宜蘭縣礁溪鄉仁愛路162號,njfg,Yilan County,24.8249934,121.7671025,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
104,嚕嚕米宵夜店,yk7a,1,"['湯品', '台式']",False,19.0,79.0,40.0,15.0,3.407,423,(△)宜蘭縣礁溪鄉仁愛路172號,yk7a,Yilan County,24.82482769,121.766902,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $200 享 9 折""}]"
105,陽光什鍋 (宜蘭礁溪店),qgyn,3,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,3.414,37,(O)宜蘭縣礁溪鄉仁愛路176號,qgyn,Yilan County,24.8247987,121.76682888,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""FREETEXT"", ""text"": ""超人氣餐廳""}]"
106,麥味登 (礁溪大忠店),jz3d,2,"['早餐', '漢堡']",False,19.0,79.0,40.0,15.0,3.525,390,(△)宜蘭縣礁溪鄉大忠路147號,zq0r,Yilan County,24.821846,121.76579,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
107,24小時複合式商店,chgt,1,"['便當', '麵食', '台式']",False,19.0,79.0,40.0,15.0,3.739,0,(O)宜蘭縣礁溪鄉三民村礁溪路三段212號,ltb7,Yilan County,24.809247,121.7673123,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
108,江家深澳小漁村海鮮館,se52,3,['台式'],False,19.0,79.0,40.0,15.0,4.426,29,(O)宜蘭縣礁溪鄉礁溪路三段12號,se52,Yilan County,24.8007897,121.7649526,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
109,潘姨肉粽,b3hq,1,"['麵食', '台式']",False,19.0,79.0,40.0,10.0,4.605,1286,(△) 宜蘭縣礁溪鄉礁溪路二段136號,b3hq,Yilan County,24.79885705,121.76431816,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $300 享 85 折""}, {""code"": ""SUPER_VENDOR"", ""text"": ""NEXTGEN_SUPER_VENDOR""}]"
110,金鐤精緻鍋物,jps2,3,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,5.79,100,(△)宜蘭縣壯圍鄉美城村大福路三段２３２巷１８號,jps2,Yilan County,24.77568083,121.77905695,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $300 享 85 折""}]"
111,漁集海鮮蓋飯,xdwa,3,"['台式', '丼飯/蓋飯']",False,19.0,79.0,40.0,15.0,1.241,7,(△)宜蘭縣礁溪鄉大塭路51-2號 (八方漁養殖場),xdwa,Yilan County,24.8230114,121.8129004,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
112,年糕紅石頭火鍋烤肉便當,nxkk,2,"['便當', '火鍋', '台式']",False,19.0,79.0,40.0,15.0,1.792,689,(△)宜蘭縣頭城鎮三和路213巷8號,nxkk,Yilan County,24.8392176,121.80621946,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
