title,uuid,disclaimerBadge,popular_uuid,opening_hous
阿丸堂 黑糖珍珠職人 林園店,8c8e5b18-5195-5fcb-a56d-fa5999c13918,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：E-200181095-00000-7 / 公司名稱：阿丸堂 黑糖珍珠職人 林園店)</span>'},"['3d5277e3-8017-40f8-abd0-95c623a3e20a', '15722e06-469a-4ee1-9500-f6e783c8b70a', '938afe32-0d19-4f1e-acae-a06d3a85eef9', '4e48425b-0e13-441a-ac8d-2ea76f05b9ce', '7fdcbbc2-5c6f-4a11-aea5-5de27612b16d']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '18:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '18:0', 'closes': '23:0'}]"
漁人町商圈 嘻咧烤 活魚現烤海鮮,77edc2ed-77a9-5168-8274-dcbe91b04550,{'text': '<span>[本店免開統一發票] (公司名稱：漁人町商圈 嘻咧烤 活魚現烤海鮮)</span>'},"['f0f0c37d-0950-4bf2-a01b-ae5ed86c5c7d', '444e68d2-b197-431f-a8c4-dcac92353232', '638b8de7-d0f3-4990-b12a-51625a252743', '471654fd-44b2-4a76-92c2-c263dad82232', 'e0a86ba3-c481-42f6-97c2-213840a9eda9']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '19:0', 'closes': '1:34'}]"
一心園素食,26ed0bc3-d38c-46db-a0ca-ee97c1563387,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：D-200011565-00001-1 / 公司名稱：一心園素食 / 統一編號：21952567)</span>'},"['c917093f-ff36-41ae-9294-b18a2c8a78c8', '93f5a508-2c1a-4d03-9208-d62b3f51181e', 'ba83fe9a-3bab-474d-ac24-14c5f8a07cbc', '22e84d1b-651b-4569-a392-8586aa056f99', '0614a43a-e39e-4dd4-a22e-9aa80ae5c5a0']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '10:27', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '10:0', 'closes': '14:0'}]"
77炸雞 東港店,ed12c638-757b-51d8-adeb-6b4cd05e9c11,{'text': '<span>[本店免開統一發票] (公司名稱：吉春興業商行 / 統一編號：89071956)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '19:0'}]"
古都梅花燒正宗創始店,0cbe7504-1341-4f31-bf82-369499ca940c,{'text': '<span>[本店免開統一發票] 本店使用豬肉原產地是台灣 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：B-200190248-00000-4 / 公司名稱：古都梅花燒正宗創始店)</span>'},"['f230a4d5-d984-4158-861e-bd0b34747321', '6bf25288-4ab9-4788-a2e2-8a39c3562d5a', '79ad4135-73d3-4039-8e49-0058cf8e73b2', '2b5acef8-eaa8-4c74-b659-a5bea123c775', '1d7dc4e1-b589-405d-b225-c551e96d126a']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '14:0', 'closes': '18:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '14:0', 'closes': '20:0'}]"
五桐號WooTEA 嘉義民族店,129c505c-0060-5797-8bff-89d00e4f5a78,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：I-200239698-00000-4 / 公司名稱：鎮安商行)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '8:0', 'closes': '20:0'}]"
晨間廚房 湖口仁慈店,aa5848ee-78ea-58d4-80d3-f244dbcf471a,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：J-128890222-01622-1 / 公司名稱：欣宇早餐店 / 統一編號：92937103)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:50', 'closes': '13:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '13:0'}]"
阿昇 爌肉飯 炒麵,f7a38a19-8ab1-5069-9f9d-7ec996141be9,{'text': '<span>[本店免開統一發票] 本商家肉品原產地資訊標示於餐點描述中 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：B-200250809-00000-4 / 公司名稱：阿昇爌肉飯 炒麵)</span>'},"['4b4dae63-148b-46b7-84ee-8de8e421d1ff', '8ee2f3d5-11ce-44b9-944b-becd3534b1f9', '11eeb343-33f0-49a8-b462-f0a17dfefb40', '86dd7131-7e57-4fb6-8077-d28bfbe6cfd9']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:15', 'closes': '13:30'}]"
反轉厚奶酥 花壇店,550097cd-3b7e-5f48-83e7-c226f4bb9fde,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：N-202270942-00000-8 / 公司名稱：反轉厚奶酥花壇店)</span>'},"['731fcfa5-aa13-4f96-b69e-10ecb2aede81', '5479de71-effd-416f-a2bf-238cf3c38677', '533e9dac-86f1-48e4-a060-2f621f19bae3', 'c9ee4258-2913-4776-8f27-ca1486cb0ea6', '88336c59-b6d9-4c11-b584-45b6b01357b9']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:30', 'closes': '18:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '14:0', 'closes': '19:0'}]"
鐤富弁當店,1cbaa12d-ee59-5288-8402-1b1472d41cb0,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：D-200165016-00000-1 / 公司名稱：鐤富弁當店)</span>'},"['c1fb3dc7-f625-4fdd-97a0-dc3b773d9880', '5d270501-8438-4154-895f-a7d0d46dc647', '2cac1d57-d67e-4c0d-899f-2a3cfe00f8b7', '0fe7fe55-850e-43d4-9728-455e0d0fae82', 'b3bc5fb6-f3e6-4990-ab7b-11edc08def68']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '19:55'}]"
