title,uuid,disclaimerBadge,popular_uuid,opening_hous
后科小吃,20ee9a58-c95d-4193-957c-ff229284bf21,{'text': '<span>[本店免開統一發票] 本店使用豬肉原產地（國） (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：B-200180507-00000-1 / 公司名稱：后科小吃)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '16:0', 'closes': '2:0'}]"
八方雲集 屏東東港店,e3eb8335-b945-479c-9295-094577bf0bb8,{'text': '<span>[本店開立紙本發票] 本商家肉品原產地資訊標示於餐點描述中 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：T-153703985-00131-2 / 公司名稱：來客多餐飲小吃部 / 統一編號：99523206)</span>'},"['bcbfd5aa-acc5-5a56-bbc9-91926bafe18e', '8c095573-8699-45ef-aae5-9ee365d487e5', '9ca87d79-e6eb-4507-8445-f2f75390f9aa', '35c36856-ce48-49c9-a5ef-f1d67fb98fc1', '9540888d-2387-4bd9-8855-27bb85c383fd']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '19:50'}]"
義麵坊,aaebc21a-07c5-428a-86b6-a078d9b977ca,{'text': '<span>[本店開立紙本發票] 本店所使用豬肉原產地：台灣 / 本店所使用牛肉原產地：美國 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：A-113850406-00000-5 / 公司名稱：意麵坊小吃店 / 統一編號：13850406)</span>'},"['a7ab7328-02bb-4a6e-b0df-5c3226691559', 'ccb5037f-eee3-4d5b-8382-9729a72dbd47', 'bf4ae5ce-58aa-451e-881c-31936fbca446']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:30', 'closes': '13:25'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '17:30', 'closes': '20:10'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:30', 'closes': '13:25'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:30', 'closes': '20:10'}]"
狙擊低卡輕盈餐盒,82c82a09-f8b1-4192-b031-7b06d5417687,{'text': '<span>[本店免開統一發票] 本店牛肉來源:澳洲/豬肉:台灣 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：B-200190966-00000-1 / 公司名稱：狙擊低卡輕盈餐盒)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday'], 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '11:0', 'closes': '20:0'}]"
咖啡深藏 屏東民生店,132776ea-f388-420f-b690-9198e970e092,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：T-200141053-00000-2 / 公司名稱：晶見咖啡商行 / 統一編號：81348419)</span>'},"['a9ea2c33-146a-49c5-bb3d-9529f2d2e06b', 'c43cfb8d-09a1-44d7-bbe7-f05aecf7d1d9', '423b3cab-4c79-4a61-98fc-1804a0fc9ac6', '681573b9-9d96-4964-aee6-f1fe102f46ae', '581d32a2-fa6d-4518-9e98-2b1bd451a1ca']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:45', 'closes': '17:0'}]"
左營小寶米粉羹,d558c667-18b8-4172-b7d7-e0acd4f5d0e4,{'text': '<span>[本店免開統一發票] 本店使用豬肉原產地：台灣/豬肉原產地 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (公司名稱：左營小寶米粉焿)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday'], 'opens': '8:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '8:30', 'closes': '19:30'}]"
燒喔 廟口香腸 肉蛋土司,18da9512-3e23-5ef6-aebb-5edf95281d35,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：M-200055193-00000-1 / 公司名稱：燒喔 廟口香腸 肉蛋土司)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '0:0'}]"
Burger King漢堡王 屏東公園店,30e1d910-eb0c-524e-8fcf-0053f721725b,{'text': '<span>[本店開立紙本發票] 牛肉餅:澳洲/培根:台灣/加拿大/豬肉片:台灣/丹麥/火腿:台灣/加拿大 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：T-123309178-00227-1 / 公司名稱：家城股份有限公司屏東公園門市部 / 統一編號：89052965)</span>'},"['26f49f89-6d43-58e0-91f3-147ac428249d', 'd0caf6e7-47ea-5a5f-b0fc-cf6e95cd3e83', '31b2da66-6b47-5392-bb4f-40c5c7171a9e', '4a670ca2-1bdb-5ac8-b4c3-b1f08e9c13ac', 'e8c52983-05c5-4b7d-9184-dc50aab2052a']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '10:0', 'closes': '22:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '22:45'}]"
品香煎餅果子,56258085-2a20-5180-a309-bbc1860ce4d9,{'text': '<span>[本店免開統一發票] (公司名稱：品香煎餅果)</span>'},"['c1ad66f5-4fae-49b7-883f-a860e68efce4', '3b107982-ba73-4267-9d7f-c9b13edb5293', '90deb310-b399-48a0-99fb-f8197001ab47', 'f17ac69f-c1f6-4e46-92c0-5b5bc72e92be', 'bfa26835-7fe8-4650-81f5-6669f4d84248']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:35', 'closes': '19:30'}]"
朵栗早餐,f1c7de69-7216-548e-b1a8-822957f4f9d2,{'text': '<span>[本店免開統一發票] (公司名稱：晨韋魚商行 / 統一編號：92685795)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:30', 'closes': '13:55'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '6:0', 'closes': '12:55'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '6:30', 'closes': '13:55'}]"
Q醬 炸蛋蔥油餅,de4d7ce6-5227-5d61-bc2c-e1647652a9bb,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：E-200215507-00000-3 / 公司名稱：Q醬 炸蛋蔥油餅)</span>'},"['96a645b8-e776-4396-baaf-079bcc211ba7', '32d70caf-7782-4631-9d22-c5fb3f17234a', 'e403a778-35da-498e-bd44-adf2dfcd00dd', '87656ebb-6215-4b79-980f-7aaba9d6929a']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '15:0', 'closes': '20:45'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '15:0', 'closes': '20:45'}]"
北門包子店,b24eb2c5-8e6e-539f-a130-3d9a9707a0d4,{'text': '<span>[本店免開統一發票] (公司名稱：舊北門包子 / 統一編號：41872211)</span>'},"['880079f9-e645-5142-8aa6-9861f5a4b091', 'e4dce720-d6b9-597e-bbd9-a9f983103bd1', '9e3122f1-701f-4a03-ac78-a74c1fea3850', '4f10d7b7-69a2-5b1d-a144-0b4f5868cdfc', '444054bc-532f-5e2a-95e7-fbbe782f4ea9', '3d9e7f07-1e1e-4ead-b48c-3b712b14e9c7', 'b8c8aeb2-8728-5f71-965b-35737c90bea1', 'c1349aae-fc67-4ea4-b9a8-f3975bdfe63a']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:30', 'closes': '17:30'}]"
蒜翻天鹽酥雞 安康店,50c2b6ea-0954-5cae-8478-df691aba4086,{'text': '<span>[本店免開統一發票] 本店牛肉來源:加拿大/豬肉:台灣 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：F-200248945-00000-6 / 公司名稱：蒜翻天鹽酥雞 安康店)</span>'},"['5818abf3-9818-4b28-ae4a-6eef158b1f24', 'c89a08ad-ed58-4bc4-a313-5f17f2b9961d', 'e280edc5-4069-4473-82e9-3d885ff5fd4b', 'c54b0e93-52d1-4a03-9688-800748f7adb4']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '17:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '1:0'}]"
北投黃龍越南河粉,b633060d-85e8-55cb-b970-43a92879557f,{'text': '<span>[本店免開統一發票] (公司名稱：黃龍越南法國麵包小吃店 / 統一編號：88301874)</span>'},"['5aa7e602-b9de-4aaa-b94c-e3d5e2c11233', 'b47f5bba-8faa-458a-991c-31e5b265868a', 'b0378aef-43bb-4465-919a-9166205ef4f3', '16afbe22-7cd2-4375-bb0b-5e1cb146da82', '2bd3d376-c647-4c32-a0c5-3ac8f0e84b76']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '8:0', 'closes': '20:0'}]"
泰僑村 漢口店,90a7f990-dc68-44e7-ac0a-0d05e76586d3,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (公司名稱：泰僑村3店平價泰式小吃 / 統一編號：38950297)</span>'},"['8957082e-643e-495f-9ddf-7c1374b0a8d4', 'a723f083-92dd-5e60-992f-684515a87fdc', '086d1f51-4576-4805-9d99-d1df46bb85f6', '24533f96-1d4e-4ae3-bfad-651f322278f6', 'bfeb5a16-530a-4a65-b0d9-1bd61d66d63c', 'f5aaa105-f672-59db-b83b-df1c6af697f3', '13645230-c5cd-5e49-bb94-2606db2c7e2a', '2d94be89-8641-5ed7-b06f-beb0f610e94a', '4c7779d1-8161-52cd-8f8d-a32397b19403', 'b81eebb8-52aa-4687-9b8b-18220d4a0e96', '775665c3-5d3b-43ab-9672-2109df713dce', 'af6c707d-915b-47b8-9208-0e4ff755fae6', '9b26dbfb-4933-4eda-9b0c-51ae32fb217f', '8dcf1298-d6f6-44ac-a613-2f4e60bbcd45']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '11:0', 'closes': '13:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '17:0', 'closes': '19:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '13:50'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:0', 'closes': '19:50'}]"
元爵味黃燜雞米飯 台中忠明店,808cea9d-ef8b-5dd0-843c-0d2474d558b0,{'text': '<span>[本店免開統一發票] 本店牛肉來源:美國/豬肉:台灣 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (公司名稱：臻品餐坊 / 統一編號：88548638)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:30', 'closes': '21:0'}]"
識好茶 文賢店,2ee325c0-4538-400f-b620-ec83837e369e,{'text': '<span>[本店開立紙本發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (公司名稱：長春茶道冷飲店 / 統一編號：81243251)</span>'},"['9147446b-8b52-4065-a989-946b5c60a812', '17a797f3-3752-4e56-ba69-5e10f7665d14', '8b2a9b82-8d91-4c84-9708-e835d1b4b34b', '726b10f2-9e72-47ad-af3c-9562dbd41090', '5f16d6d2-72bf-4bf1-86cb-b284858d3c2a']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '9:0', 'closes': '21:45'}]"
POKA POKA 手作早午餐,09185012-3864-5692-bf4f-4c073f12a32f,{'text': '<span>[本店免開統一發票] 本店牛肉來源:澳洲/豬肉:台灣 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：D-200005659-00002-9 / 公司名稱：POKA POKA 手作早午餐)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '6:0', 'closes': '12:30'}]"
Chicks N Guys 紐約雞肉飯盒 竹北店,ed6a797c-b2f1-5e48-9f0c-f536eef89cce,{'text': '<span>[本店開立紙本發票] 本店牛肉來源:澳洲/豬肉:台灣 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：A-190884376-00000-3 / 公司名稱：上城國際股份有限公司 / 統一編號：90884376)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '15:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:0'}]"
芭士站 甘草芭樂,b6e7050b-effa-5ffb-a602-a5567f7e29dc,{'text': '<span>[本店免開統一發票] (公司名稱：芭士站 甘草芭樂)</span>'},"['17094f97-d79e-4dd0-aa3d-c78d6c107556', '375bfa0b-c9fd-4e90-a410-0df6084db8b2']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '15:0', 'closes': '23:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '15:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '15:0', 'closes': '22:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '15:0', 'closes': '23:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '15:0', 'closes': '23:59'}]"
越南河粉 春捲 法國麵包,ffa4df4a-c3c4-589c-a90f-b81e951c6ade,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：H-189296287-00228-9 / 公司名稱：陳蓓欣)</span>'},"['938a3ded-1bd5-4cd4-9151-f826d2437d39', 'ead1ab19-75c6-4829-a643-4474572cc1cd', '5ae184cc-44a1-422c-bf78-6dd3ef1a004d', 'f0c0fe79-f5d7-4a77-81ca-33047291e01e', '1910d0e4-c5cb-42b7-afe5-25f4e7b35c69', '2a7de8c6-2aed-4e06-83af-654e19b95de8']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday'], 'opens': '11:0', 'closes': '20:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]"
牽圈手甜甜圈 東港店,99cb7fbe-1c8a-4ff0-b857-6bd235512cdf,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：T-200186868-00000-5 / 公司名稱：牽圈手甜甜圈 東港店)</span>'},"['b1c7a913-8cfd-4ace-9b02-9c613948b687', 'dc8d1468-a601-4d6e-9d0a-e2fdb52cec80', '134b58f2-8310-4cd7-8ccd-153805e2cc73', 'c9c2c768-a9b9-494b-89d5-bd2a221cd2a3', '812e842a-cb29-4fcd-903d-ef798d757d62']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:45', 'closes': '18:15'}]"
耍賴地瓜球 鳳山瑞興店,23e3908a-f5c4-59ce-967b-82cae80b1d21,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：E-200226411-00000-9 / 公司名稱：耍賴地瓜球)</span>'},"['c94979e1-4a12-489c-8d33-6a28e3842936', 'b1f58439-e986-47ab-9fe2-0e89c7effcea', '386af145-0d54-488c-80f0-4b6c708f1e78']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '13:45', 'closes': '20:30'}]"
田記豆漿 大同店,dafd2a6c-aca5-5d54-8c4c-ef519df0f0c1,{'text': '<span>[本店免開統一發票] 本商家肉品原產地資訊標示於餐點描述中 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：E-117106029-00001-9 / 公司名稱：田記豆漿)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '6:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:0', 'closes': '10:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '17:30', 'closes': '22:30'}]"
翻轉車輪餅,33b84fdb-544c-5582-8820-a71cf1e38fd4,{'text': '<span>[本店免開統一發票] (公司名稱：翻轉車輪餅)</span>'},"['e6f9da14-112e-4305-acc9-002338dbe6ee', '96d7957c-ff63-4faa-b6e8-9fd976004c77', 'dafbac34-ce85-4d1b-904b-cf6a7cb498d0', '82437834-87e7-4141-b15b-988afd0a1d3c', '7a09a0a4-2e37-4d41-ab28-e5f25b84445c', 'eea84cea-3f40-4ac0-ba5a-146d882043f3']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'], 'opens': '12:0', 'closes': '18:30'}]"
牛丁次郎坊X台南崇德支店 燒肉丼專科,24a753d3-406e-4340-a90f-2841deaaa7a8,{'text': '<span>[本店免開統一發票] 本商家肉品原產地資訊標示於餐點描述中 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：O-172893182-00001-3 / 公司名稱：牛丁次郎坊X台南崇德支店 燒肉丼專科)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '11:0', 'closes': '23:59'}]"
卡莉莎早午餐 Carisa Brunch 楠梓土庫店,254834bf-061d-53e3-b85b-994d92bbc1a6,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：E-200159877-00000-0 / 公司名稱：卡莉莎早午餐 Carisa Brunch 楠梓土庫店)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '7:0', 'closes': '13:30'}]"
沁圓豆花店,938fa74f-3e48-48bd-8f75-1cf2143b3de9,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (公司名稱：沁圓豆花冰專賣店 / 統一編號：85999525)</span>'},"['ff2fa0f3-2202-48e4-af26-157bffef9be2', '88a5efc3-6202-4092-9072-f7661bc1d9ce', '2486edd0-c317-47e9-9d78-746bf2b0d875', 'eeaa044e-2181-4ec3-94ce-a8d56a2e44d6']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]"
ㄚ倫手工蔥抓餅,6162315b-e75f-5f67-9e4c-7688ad0e98ec,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：D-200185143-00000-4 / 公司名稱：ㄚ倫手工蔥抓餅)</span>'},"['b2b76737-14a7-4705-a414-385095680d64', 'e7e2e4df-f67d-4cf1-b361-2722b87955ac', '3bec45f9-610e-4f92-8baf-591ff0750d6b', '12324a8b-02ec-49e8-895f-e1f6cc39b78b', 'f7129604-977b-49a9-b51f-c7b74dba60c3']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:0', 'closes': '7:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:0', 'closes': '7:30'}]"
有利脆皮豬 汐止店,0e59d418-f0e6-5a1b-84c7-c104a7ca1e83,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：F-200066134-00001-5 / 公司名稱：有利脆皮豬 汐止店)</span>'},"['2ed093e1-aa90-4c74-a3c0-80bfe9c02cf5', '3a52a3f7-144e-43a4-aa52-827277b24cc2', '532b59cc-49ae-4674-8976-8838786db140']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '9:0', 'closes': '20:0'}]"
6號鍋燒舖,dd80fd95-6a96-54b6-a1cc-7ebb56214aab,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：M-200176166-00000-8 / 公司名稱：6號鍋燒舖)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '17:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '17:0', 'closes': '0:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday'], 'opens': '0:0', 'closes': '1:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '0:0', 'closes': '1:0'}]"
日出茶太 基隆百福店,638de5e8-ccdf-47be-8c49-02ebe7bd6280,{'text': '<span>[本店開立紙本發票] (食品業者登錄字號：C-180671769-00178-0 / 公司名稱：智弘飲料店 / 統一編號：82215079)</span>'},"['ad5b0c27-4ef2-5105-8496-aa0945074398', '62f8446b-8e93-5d7a-a20d-17677cff3b89', '115a95b0-f342-52f0-9791-8c6aa2075c92', 'b477651e-3951-5f03-8184-719d28cced19', 'a814d8ea-35a4-46da-9a47-319d8bb0017b']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '21:0'}]"
萊爾富4433高市鼎盛店,566e55c4-38b0-487c-af25-b67e27ae37e4,{'text': '<span>[本店開立紙本發票] 本商家肉品原產地資訊標示於餐點描述中 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：E-123285582-94296-7 / 公司名稱：萊爾富國際股份有限公司第四四三三分公司 / 統一編號：51832409)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:59'}]"
家樂福超市 員林博愛店,9650a233-032e-42c9-b0a7-9f3bd0cd9504,{'text': '<span>[本店開立紙本發票] 本店販售之豬肉產地皆為台灣；牛肉產地除和牛漢堡排為日本及紐西蘭外皆標示於品名中。(上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：A-122662550-00000-6 / 公司名稱：惠康百貨股份有限公司員林二分公司 / 統一編號：96971186)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '0:0', 'closes': '23:59'}]"
